PID 1871862 sees CUDA_VISIBLE_DEVICES = 0
→ torch.device is 0 Tesla V100-SXM2-16GB
[INFO 47:22] Using device: cuda
[INFO 47:22] #### config : {'seed': 0, 'dataset_name': 'assist0910', 'load_params': True, 'save_params': False, 'embs_path': '../embs/', 'params_path': '../ckpt/', 'early_stopping': True, 'esc': 'error', 'verbose_early_stopping': False, 'disable_tqdm': False, 'valid_metric': 'rmse', 'learning_rate': 0.001, 'batch_size': 512, 'valid_batch_size': 10000, 'num_epochs': 100, 'eval_freq': 1, 'patience': 20, 'device': device(type='cuda'), 'lambda': 2.67605964593852e-06, 'tensorboard': False, 'flush_freq': True, 'pred_metrics': ['mi_acc', 'rmse', 'mae', 'mi_prec', 'mi_rec', 'mi_f_b', 'mi_auc', 'ma_prec', 'ma_rec', 'ma_f_b'], 'profile_metrics': ['meta_doa', 'pc-er', 'rm'], 'num_responses': 12, 'low_mem': False, 'n_query': 16, 'CDM': 'impact', 'i_fold': 4, 'num_inner_users_epochs': 9, 'num_inner_epochs': 10, 'inner_lr': 0.0001, 'inner_user_lr': 0.003, 'meta_lr': 0.05, 'meta_trainer': 'Adam', 'num_workers': 0, 'pin_memory': False, 'debug': False} ####
[INFO 47:39] Random_cont_model
[INFO 47:39] compiling CDM model
[INFO 47:44] compiling selection model
[INFO 47:44] ⏳ Début de l'entraînement...
[INFO 47:44] ✅ Entraînement terminé en 0.00 secondes.
[INFO 47:44] train on cuda
Meta_loss tensor(0.6738, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6721, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6704, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6688, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6672, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6657, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6643, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6629, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6615, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6603, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6590, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6577, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6565, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6554, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6543, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6532, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6521, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6511, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6500, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6490, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6481, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6471, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6462, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6453, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6444, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6435, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6427, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6418, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6410, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6402, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6394, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6387, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6379, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6371, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6364, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6357, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6350, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6343, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6336, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6330, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6323, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6317, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6311, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6304, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6298, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6292, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6286, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6281, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6275, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6269, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6264, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6259, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6254, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6248, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6243, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6238, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6233, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6229, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6224, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6219, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6215, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6210, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6206, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6202, device='cuda:0', grad_fn=<DotBackward0>)
