PID 4169673 sees CUDA_VISIBLE_DEVICES = 0
→ torch.device is 0 Tesla V100-SXM2-16GB
[INFO 47:22] Using device: cuda
[INFO 47:22] #### config : {'seed': 0, 'dataset_name': 'assist0910', 'load_params': True, 'save_params': False, 'embs_path': '../embs/', 'params_path': '../ckpt/', 'early_stopping': True, 'esc': 'error', 'verbose_early_stopping': False, 'disable_tqdm': False, 'valid_metric': 'rmse', 'learning_rate': 0.001, 'batch_size': 512, 'valid_batch_size': 10000, 'num_epochs': 100, 'eval_freq': 1, 'patience': 20, 'device': device(type='cuda'), 'lambda': 2.67605964593852e-06, 'tensorboard': False, 'flush_freq': True, 'pred_metrics': ['mi_acc', 'rmse', 'mae', 'mi_prec', 'mi_rec', 'mi_f_b', 'mi_auc', 'ma_prec', 'ma_rec', 'ma_f_b'], 'profile_metrics': ['meta_doa', 'pc-er', 'rm'], 'num_responses': 12, 'low_mem': False, 'n_query': 16, 'CDM': 'impact', 'i_fold': 3, 'num_inner_users_epochs': 9, 'num_inner_epochs': 10, 'inner_lr': 0.0001, 'inner_user_lr': 0.003, 'meta_lr': 0.05, 'meta_trainer': 'Adam', 'num_workers': 0, 'pin_memory': False, 'debug': False} ####
[INFO 47:39] Random_cont_model
[INFO 47:40] compiling CDM model
[INFO 47:44] compiling selection model
[INFO 47:44] ⏳ Début de l'entraînement...
[INFO 47:44] ✅ Entraînement terminé en 0.00 secondes.
[INFO 47:44] train on cuda
Meta_loss tensor(0.6859, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6844, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6829, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6815, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6801, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6788, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6775, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6763, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6751, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6739, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6728, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6717, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6706, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6696, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6686, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6676, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6667, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6657, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6648, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6640, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6631, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6623, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6615, device='cuda:0', grad_fn=<DotBackward0>)
